-8.00553828e-03	-0.00000000e+00
-7.67197419e-03	-1.17352036e-04
-7.33841009e-03	-3.71313927e-04
-7.00484600e-03	-9.68152666e-04
-6.67128190e-03	-2.31795363e-03
-6.33771781e-03	-5.25008537e-03
-6.00415371e-03	-1.13752330e-02
-5.67058962e-03	-2.36867693e-02
-5.33702552e-03	-4.74852937e-02
-5.00346143e-03	-9.17181571e-02
-4.66989733e-03	-1.70772238e-01
-4.33633324e-03	-3.06620974e-01
-4.00276914e-03	-5.31058499e-01
-3.66920505e-03	-8.87517376e-01
-3.33564095e-03	-1.43169669e+00
-3.00207686e-03	-2.23009455e+00
-2.66851276e-03	-3.35560025e+00
-2.33494867e-03	-4.87965405e+00
-2.00138457e-03	-6.86121922e+00
-1.66782048e-03	-9.33376357e+00
-1.33425638e-03	-1.22924201e+01
-1.00069229e-03	-1.56841770e+01
-6.67128190e-04	-1.94039479e+01
-3.33564095e-04	-2.32985842e+01
1.85165269e-18	-2.71793544e+01
3.33564095e-04	-3.08414754e+01
6.67128190e-04	-3.40875211e+01
1.00069229e-03	-3.67504650e+01
1.33425638e-03	-3.87121211e+01
1.66782048e-03	-3.99138327e+01
2.00138457e-03	-4.03580664e+01
2.33494867e-03	-4.01015936e+01
2.66851276e-03	-3.92425485e+01
3.00207686e-03	-3.79044993e+01
3.33564095e-03	-3.62206455e+01
3.66920505e-03	-3.43205146e+01
4.00276914e-03	-3.23204583e+01
4.33633324e-03	-3.03181725e+01
4.66989733e-03	-2.83906748e+01
5.00346143e-03	-2.65947711e+01
5.33702552e-03	-2.49689866e+01
5.67058962e-03	-2.35361380e+01
6.00415371e-03	-2.23059955e+01
6.33771781e-03	-2.12777593e+01
6.67128190e-03	-2.04422701e+01
7.00484600e-03	-1.97839627e+01
7.33841009e-03	-1.92826142e+01
7.67197419e-03	-1.89149106e+01
8.00553828e-03	-1.86558410e+01
8.33910238e-03	-1.84799052e+01
8.67266648e-03	-1.83621170e+01
9.00623057e-03	-1.82788024e+01
9.33979467e-03	-1.82081990e+01
9.67335876e-03	-1.81308868e+01
1.00069229e-02	-1.80300762e+01
1.03404870e-02	-1.78917841e+01
1.06740510e-02	-1.77049148e+01
1.10076151e-02	-1.74612469e+01
1.13411792e-02	-1.71553256e+01
1.16747433e-02	-1.67842469e+01
1.20083074e-02	-1.63473281e+01
1.23418715e-02	-1.58456668e+01
1.26754356e-02	-1.52815973e+01
1.30089997e-02	-1.46580750e+01
1.33425638e-02	-1.39780278e+01
1.36761279e-02	-1.32437347e+01
1.40096920e-02	-1.24563087e+01
1.43432561e-02	-1.16153808e+01
1.46768202e-02	-1.07190939e+01
1.50103843e-02	-9.76451864e+00
1.53439484e-02	-8.74858231e+00
1.56775125e-02	-7.66954685e+00
1.60110766e-02	-6.52898680e+00
1.63446407e-02	-5.33408914e+00
1.66782048e-02	-4.09996258e+00
1.70117689e-02	-2.85150920e+00
1.73453330e-02	-1.62433782e+00
1.76788970e-02	-4.64213708e-01
1.80124611e-02	5.75319844e-01
1.83460252e-02	1.43723271e+00
1.86795893e-02	2.06691747e+00
1.90131534e-02	2.41900303e+00
1.93467175e-02	2.46400544e+00
1.96802816e-02	2.19357266e+00
2.00138457e-02	1.62316871e+00
2.03474098e-02	7.91423862e-01
2.06809739e-02	-2.43995172e-01
2.10145380e-02	-1.41340881e+00
2.13481021e-02	-2.64380293e+00
2.16816662e-02	-3.86753646e+00
2.20152303e-02	-5.02946532e+00
2.23487944e-02	-6.09127658e+00
2.26823585e-02	-7.03252995e+00
2.30159226e-02	-7.84868420e+00
2.33494867e-02	-8.54702247e+00
2.36830508e-02	-9.14171552e+00
2.40166149e-02	-9.64920957e+00
2.43501789e-02	-1.00847796e+01
2.46837430e-02	-1.04605929e+01
2.50173071e-02	-1.07851705e+01
2.53508712e-02	-1.10638393e+01
2.56844353e-02	-1.12996803e+01
2.60179994e-02	-1.14945558e+01
2.63515635e-02	-1.16499597e+01
2.66851276e-02	-1.17675871e+01
2.70186917e-02	-1.18496248e+01
2.73522558e-02	-1.18988071e+01
2.76858199e-02	-1.19182934e+01
2.80193840e-02	-1.19114245e+01
2.83529481e-02	-1.18814208e+01
2.86865122e-02	-1.18310957e+01
2.90200763e-02	-1.17626543e+01
2.93536404e-02	-1.16776312e+01
2.96872045e-02	-1.15769815e+01
3.00207686e-02	-1.14612982e+01
3.03543327e-02	-1.13310899e+01
3.06878968e-02	-1.11870431e+01
3.10214609e-02	-1.10301984e+01
3.13550249e-02	-1.08620037e+01
3.16885890e-02	-1.06842433e+01
3.20221531e-02	-1.04988758e+01
3.23557172e-02	-1.03078400e+01
3.26892813e-02	-1.01128841e+01
3.30228454e-02	-9.91546162e+00
3.33564095e-02	-9.71670968e+00
3.36899736e-02	-9.51749863e+00
3.40235377e-02	-9.31852610e+00
3.43571018e-02	-9.12042180e+00
3.46906659e-02	-8.92383569e+00
3.50242300e-02	-8.72949608e+00
3.53577941e-02	-8.53823575e+00
3.56913582e-02	-8.35099458e+00
3.60249223e-02	-8.16880579e+00
3.63584864e-02	-7.99277027e+00
3.66920505e-02	-7.82402108e+00
3.70256146e-02	-7.66367808e+00
3.73591787e-02	-7.51279586e+00
3.76927428e-02	-7.37231000e+00
3.80263069e-02	-7.24299083e+00
3.83598709e-02	-7.12541490e+00
3.86934350e-02	-7.01995872e+00
3.90269991e-02	-6.92681457e+00
3.93605632e-02	-6.84602077e+00
3.96941273e-02	-6.77749481e+00
4.00276914e-02	-6.72105684e+00
4.03612555e-02	-6.67643050e+00
4.06948196e-02	-6.64321518e+00
4.10283837e-02	-6.62083164e+00
4.13619478e-02	-6.60845098e+00
4.16955119e-02	-6.60492647e+00
4.20290760e-02	-6.60875332e+00
4.23626401e-02	-6.61808488e+00
4.26962042e-02	-6.63082762e+00
4.30297683e-02	-6.64482247e+00
4.33633324e-02	-6.65810136e+00
4.36968965e-02	-6.66918277e+00
4.40304606e-02	-6.67734983e+00
4.43640247e-02	-6.68284198e+00
4.46975888e-02	-6.68689613e+00
4.50311529e-02	-6.69159849e+00
4.53647169e-02	-6.69954645e+00
4.56982810e-02	-6.71336766e+00
4.60318451e-02	-6.73518809e+00
4.63654092e-02	-6.76616580e+00
4.66989733e-02	-6.80620523e+00
4.70325374e-02	-6.85393071e+00
4.73661015e-02	-6.90693805e+00
4.76996656e-02	-6.96227323e+00
4.80332297e-02	-7.01702352e+00
4.83667938e-02	-7.06887540e+00
4.87003579e-02	-7.11650254e+00
4.90339220e-02	-7.15969666e+00
4.93674861e-02	-7.19923033e+00
4.97010502e-02	-7.23651568e+00
5.00346143e-02	-7.27317771e+00
5.03681784e-02	-7.31067312e+00
5.07017425e-02	-7.35005202e+00
5.10353066e-02	-7.39189996e+00
5.13688707e-02	-7.43643018e+00
5.17024348e-02	-7.48365124e+00
5.20359989e-02	-7.53352470e+00
5.23695629e-02	-7.58605151e+00
5.27031270e-02	-7.64127366e+00
5.30366911e-02	-7.69921863e+00
5.33702552e-02	-7.75983511e+00
5.37038193e-02	-7.82296184e+00
5.40373834e-02	-7.88834368e+00
5.43709475e-02	-7.95567990e+00
5.47045116e-02	-8.02467100e+00
5.50380757e-02	-8.09503553e+00
5.53716398e-02	-8.16648954e+00
5.57052039e-02	-8.23870385e+00
5.60387680e-02	-8.31126827e+00
5.63723321e-02	-8.38368852e+00
5.67058962e-02	-8.45542471e+00
5.70394603e-02	-8.52595945e+00
5.73730244e-02	-8.59486914e+00
5.77065885e-02	-8.66187208e+00
5.80401526e-02	-8.72683713e+00
5.83737167e-02	-8.78975025e+00
5.87072808e-02	-8.85064919e+00
5.90408449e-02	-8.90954257e+00
5.93744089e-02	-8.96633056e+00
5.97079730e-02	-9.02074158e+00
6.00415371e-02	-9.07229711e+00
6.03751012e-02	-9.12031555e+00
6.07086653e-02	-9.16396058e+00
6.10422294e-02	-9.20233197e+00
6.13757935e-02	-9.23458755e+00
6.17093576e-02	-9.26007461e+00
6.20429217e-02	-9.27844347e+00
6.23764858e-02	-9.28971618e+00
6.27100499e-02	-9.29429239e+00
6.30436140e-02	-9.29288929e+00
6.33771781e-02	-9.28642621e+00
6.37107422e-02	-9.27587842e+00
6.40443063e-02	-9.26213344e+00
6.43778704e-02	-9.24588235e+00
6.47114345e-02	-9.22757103e+00
6.50449986e-02	-9.20741896e+00
6.53785627e-02	-9.18549518e+00
6.57121268e-02	-9.16182407e+00
6.60456908e-02	-9.13648471e+00
6.63792549e-02	-9.10967258e+00
6.67128190e-02	-9.08170617e+00
6.70463831e-02	-9.05297958e+00
6.73799472e-02	-9.02388080e+00
6.77135113e-02	-8.99470475e+00
6.80470754e-02	-8.96559175e+00
6.83806395e-02	-8.93651155e+00
6.87142036e-02	-8.90729763e+00
6.90477677e-02	-8.87772069e+00
6.93813318e-02	-8.84757730e+00
6.97148959e-02	-8.81676572e+00
7.00484600e-02	-8.78532752e+00
7.03820241e-02	-8.75344600e+00
7.07155882e-02	-8.72140749e+00
7.10491523e-02	-8.68954259e+00
7.13827164e-02	-8.65816883e+00
7.17162805e-02	-8.62755394e+00
7.20498446e-02	-8.59790862e+00
7.23834087e-02	-8.56940682e+00
7.27169728e-02	-8.54222347e+00
7.30505368e-02	-8.51657440e+00
7.33841009e-02	-8.49274465e+00
7.37176650e-02	-8.47109538e+00
7.40512291e-02	-8.45204618e+00
7.43847932e-02	-8.43603579e+00
7.47183573e-02	-8.42346674e+00
7.50519214e-02	-8.41464270e+00
7.53854855e-02	-8.40970807e+00
7.57190496e-02	-8.40859782e+00
7.60526137e-02	-8.41100463e+00
7.63861778e-02	-8.41636754e+00
7.67197419e-02	-8.42388406e+00
7.70533060e-02	-8.43254640e+00
7.73868701e-02	-8.44120021e+00
7.77204342e-02	-8.44862380e+00
7.80539983e-02	-8.45362371e+00
7.83875624e-02	-8.45513903e+00
7.87211265e-02	-8.45234349e+00
7.90546906e-02	-8.44473113e+00
7.93882547e-02	-8.43217018e+00
7.97218188e-02	-8.41491275e+00
8.00553828e-02	-8.39355336e+00
8.03889469e-02	-8.36894022e+00
8.07225110e-02	-8.34205359e+00
8.10560751e-02	-8.31387206e+00
8.13896392e-02	-8.28525008e+00
8.17232033e-02	-8.25682621e+00
8.20567674e-02	-8.22897391e+00
8.23903315e-02	-8.20179731e+00
8.27238956e-02	-8.17516625e+00
8.30574597e-02	-8.14877911e+00
8.33910238e-02	-8.12224019e+00
8.37245879e-02	-8.09513822e+00
8.40581520e-02	-8.06711534e+00
8.43917161e-02	-8.03791819e+00
8.47252802e-02	-8.00742540e+00
8.50588443e-02	-7.97564950e+00
8.53924084e-02	-7.94271615e+00
8.57259725e-02	-7.90882746e+00
8.60595366e-02	-7.87421911e+00
8.63931007e-02	-7.83912113e+00
8.67266648e-02	-7.80373051e+00
8.70602288e-02	-7.76819959e+00
8.73937929e-02	-7.73263853e+00
8.77273570e-02	-7.69712681e+00
8.80609211e-02	-7.66172721e+00
8.83944852e-02	-7.62649565e+00
8.87280493e-02	-7.59148389e+00
8.90616134e-02	-7.55673476e+00
8.93951775e-02	-7.52227275e+00
8.97287416e-02	-7.48809380e+00
9.00623057e-02	-7.45415843e+00
9.03958698e-02	-7.42039055e+00
9.07294339e-02	-7.38668283e+00
9.10629980e-02	-7.35290705e+00
9.13965621e-02	-7.31892672e+00
9.17301262e-02	-7.28460954e+00
9.20636903e-02	-7.24983785e+00
9.23972544e-02	-7.21451603e+00
9.27308185e-02	-7.17857593e+00
9.30643826e-02	-7.14198087e+00
9.33979467e-02	-7.10472889e+00
9.37315108e-02	-7.06685502e+00
9.40650748e-02	-7.02843123e+00
9.43986389e-02	-6.98956286e+00
9.47322030e-02	-6.95038081e+00
9.50657671e-02	-6.91102955e+00
9.53993312e-02	-6.87165283e+00
9.57328953e-02	-6.83237960e+00
9.60664594e-02	-6.79331214e+00
9.64000235e-02	-6.75451750e+00
9.67335876e-02	-6.71602357e+00
9.70671517e-02	-6.67781991e+00
9.74007158e-02	-6.63986293e+00
9.77342799e-02	-6.60208495e+00
9.80678440e-02	-6.56440609e+00
9.84014081e-02	-6.52674819e+00
9.87349722e-02	-6.48904885e+00
9.90685363e-02	-6.45127263e+00
9.94021004e-02	-6.41341744e+00
9.97356645e-02	-6.37551399e+00
1.00069229e-01	-6.33761790e+00
1.00402793e-01	-6.29979490e+00
1.00736357e-01	-6.26210198e+00
1.01069921e-01	-6.22456803e+00
1.01403485e-01	-6.18717849e+00
1.01737049e-01	-6.14986723e+00
1.02070613e-01	-6.11251822e+00
1.02404177e-01	-6.07497776e+00
1.02737741e-01	-6.03707576e+00
1.03071305e-01	-5.99865233e+00
1.03404870e-01	-5.95958469e+00
1.03738434e-01	-5.91980935e+00
1.04071998e-01	-5.87933484e+00
1.04405562e-01	-5.83824221e+00
1.04739126e-01	-5.79667343e+00
1.05072690e-01	-5.75481093e+00
1.05406254e-01	-5.71285320e+00
1.05739818e-01	-5.67099232e+00
1.06073382e-01	-5.62939800e+00
1.06406946e-01	-5.58821060e+00
1.06740510e-01	-5.54754280e+00
1.07074075e-01	-5.50748643e+00
1.07407639e-01	-5.46812057e+00
1.07741203e-01	-5.42951746e+00
1.08074767e-01	-5.39174348e+00
1.08408331e-01	-5.35485519e+00
1.08741895e-01	-5.31889206e+00
1.09075459e-01	-5.28386904e+00
1.09409023e-01	-5.24977208e+00
1.09742587e-01	-5.21655902e+00
1.10076151e-01	-5.18416666e+00
1.10409716e-01	-5.15252323e+00
1.10743280e-01	-5.12156435e+00
1.11076844e-01	-5.09124922e+00
1.11410408e-01	-5.06157304e+00
1.11743972e-01	-5.03257269e+00
1.12077536e-01	-5.00432350e+00
1.12411100e-01	-4.97692701e+00
1.12744664e-01	-4.95049239e+00
1.13078228e-01	-4.92511598e+00
1.13411792e-01	-4.90086449e+00
1.13745356e-01	-4.87776660e+00
1.14078921e-01	-4.85581557e+00
1.14412485e-01	-4.83498174e+00
1.14746049e-01	-4.81523012e+00
1.15079613e-01	-4.79653695e+00
1.15413177e-01	-4.77889880e+00
1.15746741e-01	-4.76233007e+00
